wavelength,Intensity
652.346,2.5556
652.56,3.07301
652.774,3.35199
652.988,3.7983
653.202,3.71208
653.416,3.8338
653.63,4.07218
653.844,3.83375
654.058,4.02646
654.272,4.26992
654.486,3.96559
654.7,3.83371
654.914,3.67646
655.128,3.84381
655.342,3.59528
655.556,3.5699
655.769,3.51918
655.983,3.5344
656.197,3.74743
656.411,4.12274
656.625,4.33576
656.839,4.55394
657.052,4.32569
657.266,4.27498
657.48,4.37644
657.693,4.74164
657.907,5.0358
658.121,5.12202
658.335,5.3148
658.548,5.26919
658.762,5.43146
658.975,5.72566
659.189,5.71045
659.403,5.86767
659.616,5.74596
659.83,6.50672
660.043,6.59295
660.257,6.71467
660.47,7.22681
660.684,7.37387
660.897,7.04928
661.111,7.27245
661.324,7.16584
661.537,7.25713
661.751,6.79555
661.964,6.71439
662.178,6.01952
662.391,5.50726
662.604,5.02542
662.818,4.9341
663.031,5.52241
663.244,5.39057
663.457,5.49199
663.671,5.88757
663.884,5.85712
664.097,6.06511
664.31,6.0499
664.524,5.72025
664.737,5.87236
664.95,5.70003
665.163,5.57324
665.376,5.90799
665.589,6.00937
665.802,6.12095
666.015,6.74985
666.228,7.32293
666.442,6.93748
666.655,7.48523
666.868,7.92652
667.081,8.45402
667.293,8.54024
667.506,7.74904
667.719,7.52076
667.932,7.34319
668.145,7.38886
668.358,7.55114
668.571,6.98815
668.784,6.67878
668.997,7.09471
669.209,7.21644
669.422,7.0237
669.635,7.53078
669.848,7.37347
670.061,7.71831
670.273,7.49513
670.486,7.52047
670.699,7.2314
670.911,7.56613
671.124,7.67771
671.337,7.85509
671.549,7.72315
671.762,7.96655
671.975,8.12883
672.187,8.38239
672.4,8.66129
672.612,8.63586
672.825,8.78803
673.037,8.83366
673.25,9.10241
673.462,9.21398
673.675,9.13787
673.887,9.46242
674.1,9.64502
674.312,9.79719
674.525,9.36614
674.737,9.62986
674.949,9.4016
675.162,9.70591
675.374,9.97468
675.586,9.81235
675.799,9.78706
676.011,10.19269
676.223,10.05067
676.435,10.23825
676.648,9.93397
676.86,9.81229
677.072,9.48267
677.284,9.60439
677.496,10.19274
677.709,10.06088
