lambda,intensity
629.558,102.56399
629.774,102.50208
629.99,102.64018
630.206,102.26875
630.422,102.41637
630.637,102.29732
630.853,102.48304
631.069,102.41161
631.285,96.16399
631.5,95.70208
631.716,95.69256
631.932,95.98304
632.147,96.2497
632.363,96.40208
632.579,96.31161
632.794,96.21637
633.01,96.16875
633.225,96.0497
633.441,96.08304
633.656,96.20685
633.872,96.03542
634.087,96.03065
634.303,95.92113
634.518,95.67827
634.734,96.00685
634.949,95.87351
635.165,95.72589
635.38,95.7878
635.595,95.89732
635.811,95.85446
636.026,95.8878
636.241,95.66399
636.457,95.60685
636.672,95.47827
636.887,95.09732
637.103,95.2878
637.318,95.53542
637.533,95.50685
637.748,95.36399
637.964,95.44018
638.179,94.99256
638.394,95.53065
638.609,95.7878
638.824,95.89256
639.039,95.80208
639.255,95.87351
639.47,96.10685
639.685,96.1878
639.9,96.05446
640.115,95.90685
640.33,95.86875
640.545,95.92113
640.76,96.46399
640.975,96.35923
641.19,96.10685
641.405,96.49256
641.62,96.50208
641.835,95.94494
642.05,96.0497
642.264,96.35446
642.479,96.4497
642.694,96.36875
642.909,96.03065
643.124,95.8878
643.339,95.92113
643.553,96.18304
643.768,96.22589
643.983,96.06399
644.198,96.31161
644.412,96.32113
644.627,96.12589
644.842,96.11161
645.056,95.9878
645.271,95.71161
645.486,95.7497
645.7,96.04018
645.915,96.00208
646.13,96.25446
646.344,96.60685
646.559,96.71161
646.773,96.7497
646.988,96.62113
647.202,96.7497
647.417,97.11161
647.631,96.98304
647.846,97.04494
648.06,96.50685
648.275,96.26399
648.489,96.11161
648.703,95.8878
648.918,96.16399
649.132,96.22589
649.347,96.2878
649.561,96.61637
649.775,96.85923
649.99,96.87351
650.204,96.86875
650.418,96.80685
650.632,96.68304
650.847,96.81637
651.061,96.60685
651.275,96.24018
651.489,96.20208
651.703,96.51637
651.917,96.14018
652.132,96.38304
652.346,96.35923
652.56,96.86399
652.774,97.05446
652.988,97.14018
653.202,97.16875
653.416,96.7497
653.63,96.6878
653.844,96.66399
654.058,96.35923
654.272,96.04018
654.486,95.88304
654.7,95.6878
654.914,95.65446
655.128,95.39256
655.342,95.01637
655.556,95.35446
655.769,95.53542
655.983,95.56399
656.197,95.29256
656.411,95.11161
656.625,95.0878
656.839,94.89732
657.052,94.57351
657.266,94.68304
657.48,94.74018
657.693,94.88304
657.907,95.01637
658.121,95.12589
658.335,95.35446
658.548,95.19256
658.762,95.3497
658.975,95.47827
659.189,95.63542
659.403,95.60685
659.616,96.02589
659.83,96.21637
660.043,95.86399
660.257,96.05446
660.47,95.83065
660.684,95.69256
660.897,95.82589
661.111,95.85923
661.324,96.23065
661.537,96.47351
661.751,96.41637
661.964,96.23542
662.178,96.1497
662.391,96.03065
662.604,96.10208
662.818,96.11637
663.031,96.37351
663.244,96.25923
663.457,96.0878
663.671,96.0878
663.884,96.29732
664.097,96.07827
664.31,95.89256
664.524,96.0878
664.737,96.13542
664.95,96.30208
665.163,96.57827
665.376,96.82113
665.589,96.7878
665.802,96.47351
666.015,96.27351
666.228,96.15923
666.442,96.44494
666.655,96.2497
666.868,96.38304
667.081,96.52113
667.293,96.27827
667.506,96.26399
667.719,96.96399
667.932,97.37351
668.145,97.29732
668.358,97.05923
668.571,96.89256
668.784,97.14018
668.997,97.07827
669.209,96.8497
669.422,96.55923
669.635,96.52113
669.848,96.56875
670.061,96.42113
670.273,96.57351
670.486,96.4878
670.699,96.57827
670.911,96.47351
671.124,96.65446
671.337,96.56875
671.549,96.19256
671.762,95.99732
671.975,96.0878
672.187,95.44494
672.4,95.20208
672.612,95.44018
672.825,95.40685
673.037,95.34018
673.25,95.14494
673.462,95.09256
673.675,95.50685
673.887,96.17827
674.1,96.12113
674.312,95.93065
674.525,95.77827
674.737,95.84494
674.949,95.96875
675.162,96.00208
675.374,96.15923
675.586,96.30685
675.799,96.80685
676.011,96.90685
676.223,97.27351
676.435,96.95923
676.648,96.84494
676.86,96.82113
677.072,96.40208
677.284,96.63542
677.496,96.82113
677.709,97.01161
677.921,97.10685
678.133,97.09732
678.345,96.60208
678.557,96.70208
678.769,96.61637
678.981,96.72113
679.193,96.69732
679.405,96.96875
679.617,96.73065
679.829,96.72589
680.041,96.50208
680.253,95.97827
680.465,96.18304
680.677,95.94494
680.889,96.32589
681.101,96.54494
681.313,96.82113
681.525,97.2497
681.736,97.24494
681.948,97.33542
682.16,97.28304
682.372,97.31637
682.584,97.00208
682.795,97.15923
683.007,97.26399
683.219,97.2878
